case_id,occupation_code,occupation_title,case_type,user_task,proposed_decision,proposed_expected_match,proposed_expected_ilo_task_id,proposed_reference_task_text,other_available_ilo_tasks,label_rationale,human_decision,human_corrected_ilo_task_id,reviewer,review_notes
e2-5221-related-04,5221,Shopkeepers,related_but_wrong_task,Install point-of-sale software for the store.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",Software installation is not a listed 5221 task.,,,,
e2-5221-unrelated-01,5221,Shopkeepers,unrelated_no_match,Compose music for a wedding ceremony.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",No plausible retail-task correspondence.,,,,
e2-5221-unrelated-02,5221,Shopkeepers,unrelated_no_match,Calibrate a laboratory microscope.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",No plausible retail-task correspondence.,,,,
e2-5221-unrelated-03,5221,Shopkeepers,unrelated_no_match,Repair a leaking household pipe.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",No plausible retail-task correspondence.,,,,
e2-5221-unrelated-04,5221,Shopkeepers,unrelated_no_match,Coach a youth football team.,ABSTAIN,false,,,"1: Determining product mix, stock and price levels for goods to be sold; | 2: Purchasing and ordering goods for sale from markets, wholesalers and other suppliers; | 3: Budgeting and maintaining records of stock levels and financial transactions; | 4: Determining prices and displaying goods for sale; | 5: Selling goods to customers and advising them on product use; | 6: Examining returned goods and deciding on appropriate action; | 7: Taking inventory of goods in stock.",No plausible retail-task correspondence.,,,,
e2-5222-exact-01,5222,Shop Supervisors,exact_or_near_exact,Planning and preparing work schedules and assigning staff to specific duties;,MATCH,true,1,Planning and preparing work schedules and assigning staff to specific duties;,"2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Same wording as ILO task 1.,,,,
e2-5222-exact-02,5222,Shop Supervisors,exact_or_near_exact,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",MATCH,true,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;","1: Planning and preparing work schedules and assigning staff to specific duties; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Same wording as ILO task 2.,,,,
e2-5222-exact-03,5222,Shop Supervisors,exact_or_near_exact,Ensure customers get prompt service.,MATCH,true,3,Ensuring that customers receive prompt service;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Near-exact wording for task 3.,,,,
e2-5222-exact-04,5222,Shop Supervisors,exact_or_near_exact,Check goods are accurately priced and displayed.,MATCH,true,7,Ensuring that goods and services are correctly priced and displayed;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 8: Ensuring that safety procedures are enforced.",Near-exact wording for task 7.,,,,
e2-5222-clear-01,5222,Shop Supervisors,clear_paraphrase,Make weekly rosters and allocate staff to each shift.,MATCH,true,1,Planning and preparing work schedules and assigning staff to specific duties;,"2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Roster preparation and duty assignment correspond to task 1.,,,,
e2-5222-clear-02,5222,Shop Supervisors,clear_paraphrase,Train sales staff on procedures for difficult customer cases.,MATCH,true,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;","1: Planning and preparing work schedules and assigning staff to specific duties; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Sales-procedure instruction corresponds to task 2.,,,,
e2-5222-clear-03,5222,Shop Supervisors,clear_paraphrase,Order extra stock after counting items for sale.,MATCH,true,6,Taking inventory of goods for sale and ordering new stock;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Stock count and reordering correspond to task 6.,,,,
e2-5222-clear-04,5222,Shop Supervisors,clear_paraphrase,Enforce shop safety procedures with staff.,MATCH,true,8,Ensuring that safety procedures are enforced.,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed;",Safety-procedure enforcement corresponds to task 8.,,,,
e2-5222-difficult-01,5222,Shop Supervisors,difficult_paraphrase,"Contribute to hiring, performance reviews, promotions, and staff grievance resolution.",MATCH,true,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;","1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Personnel advice and grievance work correspond to task 4.,,,,
e2-5222-difficult-02,5222,Shop Supervisors,difficult_paraphrase,Decide an appropriate response to returned merchandise.,MATCH,true,5,Examining returned goods and deciding on appropriate action;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Returned-goods decision corresponds to task 5.,,,,
e2-5222-difficult-03,5222,Shop Supervisors,difficult_paraphrase,Keep shoppers from waiting too long for assistance.,MATCH,true,3,Ensuring that customers receive prompt service;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Prompt customer service corresponds to task 3.,,,,
e2-5222-difficult-04,5222,Shop Supervisors,difficult_paraphrase,Make sure service and goods prices are correct in displays.,MATCH,true,7,Ensuring that goods and services are correctly priced and displayed;,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 8: Ensuring that safety procedures are enforced.",Price/display assurance corresponds to task 7.,,,,
e2-5222-related-01,5222,Shop Supervisors,related_but_wrong_task,Prepare annual payroll tax filings for employees.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Employment administration is not a supplied 5222 task.,,,,
e2-5222-related-02,5222,Shop Supervisors,related_but_wrong_task,Create a long-term marketing strategy for the brand.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Brand strategy is not a supplied 5222 task.,,,,
e2-5222-related-03,5222,Shop Supervisors,related_but_wrong_task,Repair the store's refrigeration equipment.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Equipment repair is not a supplied 5222 task.,,,,
e2-5222-related-04,5222,Shop Supervisors,related_but_wrong_task,Negotiate the landlord's commercial lease.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",Lease negotiation is not a supplied 5222 task.,,,,
e2-5222-unrelated-01,5222,Shop Supervisors,unrelated_no_match,Tune a guitar before a performance.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",No plausible retail-supervision correspondence.,,,,
e2-5222-unrelated-02,5222,Shop Supervisors,unrelated_no_match,Diagnose a patient's blood test.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",No plausible retail-supervision correspondence.,,,,
e2-5222-unrelated-03,5222,Shop Supervisors,unrelated_no_match,Write a mobile game.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",No plausible retail-supervision correspondence.,,,,
e2-5222-unrelated-04,5222,Shop Supervisors,unrelated_no_match,Paint a landscape mural.,ABSTAIN,false,,,"1: Planning and preparing work schedules and assigning staff to specific duties; | 2: Instructing staff on sales procedures, including how to handle difficult or complex cases; | 3: Ensuring that customers receive prompt service; | 4: Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances; | 5: Examining returned goods and deciding on appropriate action; | 6: Taking inventory of goods for sale and ordering new stock; | 7: Ensuring that goods and services are correctly priced and displayed; | 8: Ensuring that safety procedures are enforced.",No plausible retail-supervision correspondence.,,,,
e2-5223-exact-01,5223,Shop Sales Assistants,exact_or_near_exact,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",MATCH,true,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;","2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Same wording as ILO task 1.,,,,
e2-5223-exact-02,5223,Shop Sales Assistants,exact_or_near_exact,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",MATCH,true,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;","1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Same wording as ILO task 3.,,,,
e2-5223-exact-03,5223,Shop Sales Assistants,exact_or_near_exact,Demonstrate goods and services to customers.,MATCH,true,2,Demonstrating and explaining to customers the establishment's goods and services;,"1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Near-exact wording for task 2.,,,,
e2-5223-exact-04,5223,Shop Sales Assistants,exact_or_near_exact,"Stack and display goods, then wrap customer purchases.",MATCH,true,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.","1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes;",Near-exact wording for task 5.,,,,
e2-5223-clear-01,5223,Shop Sales Assistants,clear_paraphrase,"Ask shoppers what they need and advise on range, price, delivery, warranty and product care.",MATCH,true,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;","2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Customer needs and product advice correspond to task 1.,,,,
e2-5223-clear-02,5223,Shop Sales Assistants,clear_paraphrase,Take payments and record sales invoices at checkout.,MATCH,true,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;","1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Payment and sales recording correspond to task 3.,,,,
e2-5223-clear-03,5223,Shop Sales Assistants,clear_paraphrase,Help take inventory and manage stock levels.,MATCH,true,4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,"1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Stock-take participation corresponds to task 4.,,,,
e2-5223-clear-04,5223,Shop Sales Assistants,clear_paraphrase,Explain how products work to visitors in the store.,MATCH,true,2,Demonstrating and explaining to customers the establishment's goods and services;,"1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Customer demonstration/explanation corresponds to task 2.,,,,
e2-5223-difficult-01,5223,Shop Sales Assistants,difficult_paraphrase,Arrange goods on shelves and package items once bought.,MATCH,true,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.","1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes;","Display, wrapping and packing correspond to task 5.",,,,
e2-5223-difficult-02,5223,Shop Sales Assistants,difficult_paraphrase,"Discuss warranty, delivery, care and price based on customer needs.",MATCH,true,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;","2: Demonstrating and explaining to customers the establishment's goods and services; | 3: Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.","Advice based on requirements, price, delivery and care corresponds to task 1.",,,,
e2-5223-difficult-03,5223,Shop Sales Assistants,difficult_paraphrase,Use the till to finalise a sale and issue a receipt.,MATCH,true,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;","1: Determining customer requirements and advising on product range, price, delivery, warranties and product use and care; | 2: Demonstrating and explaining to customers the establishment's goods and services; | 4: Assisting with the ongoing management of stock such as product inventories and participating in stock takes; | 5: Stacking and displaying goods for sale, and wrapping and packing goods sold.",Cash-register sale completion corresponds to task 3.,,,,
