case_id,occupation_code,occupation_title,case_type,user_task,candidate_1_ilo_task_id,candidate_1_text,candidate_2_ilo_task_id,candidate_2_text,candidate_3_ilo_task_id,candidate_3_text,candidate_4_ilo_task_id,candidate_4_text,candidate_5_ilo_task_id,candidate_5_text,candidate_6_ilo_task_id,candidate_6_text,candidate_7_ilo_task_id,candidate_7_text,candidate_8_ilo_task_id,candidate_8_text,human_decision,human_selected_ilo_task_id,reviewer,review_notes
e2-5221-related-03,5221,Shopkeepers,blind_semantic_equivalence,Submit payroll tax returns for the business.,5,Selling goods to customers and advising them on product use;,3,Budgeting and maintaining records of stock levels and financial transactions;,1,"Determining product mix, stock and price levels for goods to be sold;",2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",6,Examining returned goods and deciding on appropriate action;,7,Taking inventory of goods in stock.,4,Determining prices and displaying goods for sale;,,,,,,
e2-5221-related-04,5221,Shopkeepers,blind_semantic_equivalence,Install point-of-sale software for the store.,1,"Determining product mix, stock and price levels for goods to be sold;",3,Budgeting and maintaining records of stock levels and financial transactions;,5,Selling goods to customers and advising them on product use;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",4,Determining prices and displaying goods for sale;,7,Taking inventory of goods in stock.,6,Examining returned goods and deciding on appropriate action;,,,,,,
e2-5221-unrelated-01,5221,Shopkeepers,blind_semantic_equivalence,Compose music for a wedding ceremony.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",6,Examining returned goods and deciding on appropriate action;,3,Budgeting and maintaining records of stock levels and financial transactions;,4,Determining prices and displaying goods for sale;,7,Taking inventory of goods in stock.,5,Selling goods to customers and advising them on product use;,1,"Determining product mix, stock and price levels for goods to be sold;",,,,,,
e2-5221-unrelated-02,5221,Shopkeepers,blind_semantic_equivalence,Calibrate a laboratory microscope.,3,Budgeting and maintaining records of stock levels and financial transactions;,7,Taking inventory of goods in stock.,5,Selling goods to customers and advising them on product use;,1,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,6,Examining returned goods and deciding on appropriate action;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",,,,,,
e2-5221-unrelated-03,5221,Shopkeepers,blind_semantic_equivalence,Repair a leaking household pipe.,6,Examining returned goods and deciding on appropriate action;,5,Selling goods to customers and advising them on product use;,3,Budgeting and maintaining records of stock levels and financial transactions;,1,"Determining product mix, stock and price levels for goods to be sold;",4,Determining prices and displaying goods for sale;,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",7,Taking inventory of goods in stock.,,,,,,
e2-5221-unrelated-04,5221,Shopkeepers,blind_semantic_equivalence,Coach a youth football team.,2,"Purchasing and ordering goods for sale from markets, wholesalers and other suppliers;",6,Examining returned goods and deciding on appropriate action;,4,Determining prices and displaying goods for sale;,7,Taking inventory of goods in stock.,1,"Determining product mix, stock and price levels for goods to be sold;",3,Budgeting and maintaining records of stock levels and financial transactions;,5,Selling goods to customers and advising them on product use;,,,,,,
e2-5222-exact-01,5222,Shop Supervisors,blind_semantic_equivalence,Planning and preparing work schedules and assigning staff to specific duties;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,3,Ensuring that customers receive prompt service;,6,Taking inventory of goods for sale and ordering new stock;,5,Examining returned goods and deciding on appropriate action;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",1,Planning and preparing work schedules and assigning staff to specific duties;,7,Ensuring that goods and services are correctly priced and displayed;,,,,
e2-5222-exact-02,5222,Shop Supervisors,blind_semantic_equivalence,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",1,Planning and preparing work schedules and assigning staff to specific duties;,7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",5,Examining returned goods and deciding on appropriate action;,6,Taking inventory of goods for sale and ordering new stock;,8,Ensuring that safety procedures are enforced.,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",3,Ensuring that customers receive prompt service;,,,,
e2-5222-exact-03,5222,Shop Supervisors,blind_semantic_equivalence,Ensure customers get prompt service.,6,Taking inventory of goods for sale and ordering new stock;,5,Examining returned goods and deciding on appropriate action;,1,Planning and preparing work schedules and assigning staff to specific duties;,7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",3,Ensuring that customers receive prompt service;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",8,Ensuring that safety procedures are enforced.,,,,
e2-5222-exact-04,5222,Shop Supervisors,blind_semantic_equivalence,Check goods are accurately priced and displayed.,5,Examining returned goods and deciding on appropriate action;,3,Ensuring that customers receive prompt service;,1,Planning and preparing work schedules and assigning staff to specific duties;,8,Ensuring that safety procedures are enforced.,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",6,Taking inventory of goods for sale and ordering new stock;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",7,Ensuring that goods and services are correctly priced and displayed;,,,,
e2-5222-clear-01,5222,Shop Supervisors,blind_semantic_equivalence,Make weekly rosters and allocate staff to each shift.,5,Examining returned goods and deciding on appropriate action;,7,Ensuring that goods and services are correctly priced and displayed;,3,Ensuring that customers receive prompt service;,6,Taking inventory of goods for sale and ordering new stock;,1,Planning and preparing work schedules and assigning staff to specific duties;,8,Ensuring that safety procedures are enforced.,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",,,,
e2-5222-clear-02,5222,Shop Supervisors,blind_semantic_equivalence,Train sales staff on procedures for difficult customer cases.,7,Ensuring that goods and services are correctly priced and displayed;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",1,Planning and preparing work schedules and assigning staff to specific duties;,3,Ensuring that customers receive prompt service;,5,Examining returned goods and deciding on appropriate action;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,6,Taking inventory of goods for sale and ordering new stock;,,,,
e2-5222-clear-03,5222,Shop Supervisors,blind_semantic_equivalence,Order extra stock after counting items for sale.,3,Ensuring that customers receive prompt service;,7,Ensuring that goods and services are correctly priced and displayed;,1,Planning and preparing work schedules and assigning staff to specific duties;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",5,Examining returned goods and deciding on appropriate action;,8,Ensuring that safety procedures are enforced.,6,Taking inventory of goods for sale and ordering new stock;,,,,
e2-5222-clear-04,5222,Shop Supervisors,blind_semantic_equivalence,Enforce shop safety procedures with staff.,6,Taking inventory of goods for sale and ordering new stock;,5,Examining returned goods and deciding on appropriate action;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",3,Ensuring that customers receive prompt service;,1,Planning and preparing work schedules and assigning staff to specific duties;,7,Ensuring that goods and services are correctly priced and displayed;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",8,Ensuring that safety procedures are enforced.,,,,
e2-5222-difficult-01,5222,Shop Supervisors,blind_semantic_equivalence,"Contribute to hiring, performance reviews, promotions, and staff grievance resolution.",5,Examining returned goods and deciding on appropriate action;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,1,Planning and preparing work schedules and assigning staff to specific duties;,6,Taking inventory of goods for sale and ordering new stock;,3,Ensuring that customers receive prompt service;,7,Ensuring that goods and services are correctly priced and displayed;,,,,
e2-5222-difficult-02,5222,Shop Supervisors,blind_semantic_equivalence,Decide an appropriate response to returned merchandise.,3,Ensuring that customers receive prompt service;,5,Examining returned goods and deciding on appropriate action;,6,Taking inventory of goods for sale and ordering new stock;,8,Ensuring that safety procedures are enforced.,7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",1,Planning and preparing work schedules and assigning staff to specific duties;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",,,,
e2-5222-difficult-03,5222,Shop Supervisors,blind_semantic_equivalence,Keep shoppers from waiting too long for assistance.,6,Taking inventory of goods for sale and ordering new stock;,7,Ensuring that goods and services are correctly priced and displayed;,8,Ensuring that safety procedures are enforced.,5,Examining returned goods and deciding on appropriate action;,1,Planning and preparing work schedules and assigning staff to specific duties;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",3,Ensuring that customers receive prompt service;,,,,
e2-5222-difficult-04,5222,Shop Supervisors,blind_semantic_equivalence,Make sure service and goods prices are correct in displays.,1,Planning and preparing work schedules and assigning staff to specific duties;,3,Ensuring that customers receive prompt service;,7,Ensuring that goods and services are correctly priced and displayed;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",6,Taking inventory of goods for sale and ordering new stock;,8,Ensuring that safety procedures are enforced.,5,Examining returned goods and deciding on appropriate action;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",,,,
e2-5222-related-01,5222,Shop Supervisors,blind_semantic_equivalence,Prepare annual payroll tax filings for employees.,8,Ensuring that safety procedures are enforced.,7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",1,Planning and preparing work schedules and assigning staff to specific duties;,5,Examining returned goods and deciding on appropriate action;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",6,Taking inventory of goods for sale and ordering new stock;,3,Ensuring that customers receive prompt service;,,,,
e2-5222-related-02,5222,Shop Supervisors,blind_semantic_equivalence,Create a long-term marketing strategy for the brand.,7,Ensuring that goods and services are correctly priced and displayed;,3,Ensuring that customers receive prompt service;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,6,Taking inventory of goods for sale and ordering new stock;,5,Examining returned goods and deciding on appropriate action;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",1,Planning and preparing work schedules and assigning staff to specific duties;,,,,
e2-5222-related-03,5222,Shop Supervisors,blind_semantic_equivalence,Repair the store's refrigeration equipment.,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",7,Ensuring that goods and services are correctly priced and displayed;,5,Examining returned goods and deciding on appropriate action;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",6,Taking inventory of goods for sale and ordering new stock;,1,Planning and preparing work schedules and assigning staff to specific duties;,8,Ensuring that safety procedures are enforced.,3,Ensuring that customers receive prompt service;,,,,
e2-5222-related-04,5222,Shop Supervisors,blind_semantic_equivalence,Negotiate the landlord's commercial lease.,1,Planning and preparing work schedules and assigning staff to specific duties;,6,Taking inventory of goods for sale and ordering new stock;,7,Ensuring that goods and services are correctly priced and displayed;,5,Examining returned goods and deciding on appropriate action;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",3,Ensuring that customers receive prompt service;,,,,
e2-5222-unrelated-01,5222,Shop Supervisors,blind_semantic_equivalence,Tune a guitar before a performance.,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",5,Examining returned goods and deciding on appropriate action;,3,Ensuring that customers receive prompt service;,8,Ensuring that safety procedures are enforced.,6,Taking inventory of goods for sale and ordering new stock;,1,Planning and preparing work schedules and assigning staff to specific duties;,,,,
e2-5222-unrelated-02,5222,Shop Supervisors,blind_semantic_equivalence,Diagnose a patient's blood test.,8,Ensuring that safety procedures are enforced.,3,Ensuring that customers receive prompt service;,1,Planning and preparing work schedules and assigning staff to specific duties;,5,Examining returned goods and deciding on appropriate action;,6,Taking inventory of goods for sale and ordering new stock;,7,Ensuring that goods and services are correctly priced and displayed;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",,,,
e2-5222-unrelated-03,5222,Shop Supervisors,blind_semantic_equivalence,Write a mobile game.,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",7,Ensuring that goods and services are correctly priced and displayed;,1,Planning and preparing work schedules and assigning staff to specific duties;,5,Examining returned goods and deciding on appropriate action;,8,Ensuring that safety procedures are enforced.,6,Taking inventory of goods for sale and ordering new stock;,3,Ensuring that customers receive prompt service;,,,,
e2-5222-unrelated-04,5222,Shop Supervisors,blind_semantic_equivalence,Paint a landscape mural.,5,Examining returned goods and deciding on appropriate action;,2,"Instructing staff on sales procedures, including how to handle difficult or complex cases;",8,Ensuring that safety procedures are enforced.,7,Ensuring that goods and services are correctly priced and displayed;,1,Planning and preparing work schedules and assigning staff to specific duties;,6,Taking inventory of goods for sale and ordering new stock;,4,"Participating in and providing advice to managers on interviewing, hiring, training, evaluating, promoting and dismissing staff, and resolving staff grievances;",3,Ensuring that customers receive prompt service;,,,,
e2-5223-exact-01,5223,Shop Sales Assistants,blind_semantic_equivalence,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",2,Demonstrating and explaining to customers the establishment's goods and services;,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",,,,,,,,,,
e2-5223-exact-02,5223,Shop Sales Assistants,blind_semantic_equivalence,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,2,Demonstrating and explaining to customers the establishment's goods and services;,,,,,,,,,,
e2-5223-exact-03,5223,Shop Sales Assistants,blind_semantic_equivalence,Demonstrate goods and services to customers.,2,Demonstrating and explaining to customers the establishment's goods and services;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-exact-04,5223,Shop Sales Assistants,blind_semantic_equivalence,"Stack and display goods, then wrap customer purchases.",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",2,Demonstrating and explaining to customers the establishment's goods and services;,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",,,,,,,,,,
e2-5223-clear-01,5223,Shop Sales Assistants,blind_semantic_equivalence,"Ask shoppers what they need and advise on range, price, delivery, warranty and product care.",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",2,Demonstrating and explaining to customers the establishment's goods and services;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-clear-02,5223,Shop Sales Assistants,blind_semantic_equivalence,Take payments and record sales invoices at checkout.,2,Demonstrating and explaining to customers the establishment's goods and services;,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-clear-03,5223,Shop Sales Assistants,blind_semantic_equivalence,Help take inventory and manage stock levels.,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",2,Demonstrating and explaining to customers the establishment's goods and services;,4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-clear-04,5223,Shop Sales Assistants,blind_semantic_equivalence,Explain how products work to visitors in the store.,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",2,Demonstrating and explaining to customers the establishment's goods and services;,4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",,,,,,,,,,
e2-5223-difficult-01,5223,Shop Sales Assistants,blind_semantic_equivalence,Arrange goods on shelves and package items once bought.,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",2,Demonstrating and explaining to customers the establishment's goods and services;,,,,,,,,,,
e2-5223-difficult-02,5223,Shop Sales Assistants,blind_semantic_equivalence,"Discuss warranty, delivery, care and price based on customer needs.",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",2,Demonstrating and explaining to customers the establishment's goods and services;,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-difficult-03,5223,Shop Sales Assistants,blind_semantic_equivalence,Use the till to finalise a sale and issue a receipt.,2,Demonstrating and explaining to customers the establishment's goods and services;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-difficult-04,5223,Shop Sales Assistants,blind_semantic_equivalence,Participate in stock takes to keep inventory current.,4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",2,Demonstrating and explaining to customers the establishment's goods and services;,,,,,,,,,,
e2-5223-related-01,5223,Shop Sales Assistants,blind_semantic_equivalence,Authorise refunds for damaged items.,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",2,Demonstrating and explaining to customers the establishment's goods and services;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-related-02,5223,Shop Sales Assistants,blind_semantic_equivalence,Plan delivery routes for online orders.,1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",2,Demonstrating and explaining to customers the establishment's goods and services;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,,,,,,,,,,
e2-5223-related-03,5223,Shop Sales Assistants,blind_semantic_equivalence,Create window-display artwork for a brand campaign.,4,Assisting with the ongoing management of stock such as product inventories and participating in stock takes;,3,"Selling goods and services, accepting payment by a variety of payment methods, preparing sales invoices and recording sales using cash registers;",2,Demonstrating and explaining to customers the establishment's goods and services;,5,"Stacking and displaying goods for sale, and wrapping and packing goods sold.",1,"Determining customer requirements and advising on product range, price, delivery, warranties and product use and care;",,,,,,,,,,
